コード,都道府県,市区町村,市区町村カナ,市区町村かな,緯度,経度
152056,新潟県,柏崎市,カシワザキシ,かしわざきし,37.3719,138.558984
152064,新潟県,新発田市,シバタシ,しばたし,37.950886,139.327892
152081,新潟県,小千谷市,オヂヤシ,おぢやし,37.314339,138.7951
152099,新潟県,加茂市,カモシ,かもし,37.666275,139.040198
152102,新潟県,十日町市,トオカマチシ,とおかまちし,37.127582,138.755708
152111,新潟県,見附市,ミツケシ,みつけし,37.531604,138.912825
152129,新潟県,村上市,ムラカミシ,むらかみし,38.223979,139.480021
152137,新潟県,燕市,ツバメシ,つばめし,37.673152,138.88223
152161,新潟県,糸魚川市,イトイガワシ,いといがわし,37.039028,137.862652
152170,新潟県,妙高市,ミョウコウシ,みょうこうし,37.025196,138.253473
152188,新潟県,五泉市,ゴセンシ,ごせんし,37.744536,139.182568
152226,新潟県,上越市,ジョウエツシ,じょうえつし,37.147848,138.23608
152234,新潟県,阿賀野市,アガノシ,あがのし,37.834501,139.225983
152242,新潟県,佐渡市,サドシ,さどし,38.018353,138.368082
152251,新潟県,魚沼市,ウオヌマシ,うおぬまし,37.244124,138.924361
152269,新潟県,南魚沼市,ミナミウオヌマシ,みなみうおぬまし,37.161428,138.925448
152277,新潟県,胎内市,タイナイシ,たいないし,38.059711,139.410342
153079,新潟県,北蒲原郡聖籠町,セイロウマチ,せいろうまち,37.974597,139.274336
153427,新潟県,西蒲原郡弥彦村,ヤヒコムラ,やひこむら,37.691066,138.855249
153613,新潟県,南蒲原郡田上町,タガミマチ,たがみまち,37.698826,139.057982
153851,新潟県,東蒲原郡阿賀町,アガマチ,あがまち,37.675485,139.45878
154059,新潟県,三島郡出雲崎町,イズモザキマチ,いずもざきまち,37.530707,138.709303
154610,新潟県,南魚沼郡湯沢町,ユザワマチ,ゆざわまち,36.934025,138.81744
154822,新潟県,中魚沼郡津南町,ツナンマチ,つなんまち,37.014274,138.652622
155047,新潟県,刈羽郡刈羽村,カリワムラ,かりわむら,37.422359,138.622442
155811,新潟県,岩船郡関川村,セキカワムラ,せきかわむら,38.089376,139.564918
155861,新潟県,岩船郡粟島浦村,アワシマウラムラ,あわしまうらむら,38.468267,139.254439
162019,富山県,富山市,トヤマシ,とやまし,36.695952,137.213677
162027,富山県,高岡市,タカオカシ,たかおかし,36.754096,137.025728
162043,富山県,魚津市,ウオヅシ,うおづし,36.827367,137.409215
162051,富山県,氷見市,ヒミシ,ひみし,36.855981,136.972849
162060,富山県,滑川市,ナメリカワシ,なめりかわし,36.764378,137.341191
162078,富山県,黒部市,クロベシ,くろべし,36.871508,137.44803
162086,富山県,砺波市,トナミシ,となみし,36.647534,136.962009
162094,富山県,小矢部市,オヤベシ,おやべし,36.675575,136.868622
162108,富山県,南砺市,ナントシ,なんとし,36.557513,136.875336
162116,富山県,射水市,イミズシ,いみずし,36.782455,137.079614
163210,富山県,中新川郡舟橋村,フナハシムラ,ふなはしむら,36.703531,137.307377
163228,富山県,中新川郡上市町,カミイチマチ,かみいちまち,36.698414,137.36238
163236,富山県,中新川郡立山町,タテヤママチ,たてやままち,36.663522,137.313697
163422,富山県,下新川郡入善町,ニュウゼンマチ,にゅうぜんまち,36.933511,137.502045
163431,富山県,下新川郡朝日町,アサヒマチ,あさひまち,36.94619,137.559943
172014,石川県,金沢市,カナザワシ,かなざわし,36.561325,136.656205
172022,石川県,七尾市,ナナオシ,ななおし,37.043102,136.967518
172031,石川県,小松市,コマツシ,こまつし,36.408351,136.445571
172049,石川県,輪島市,ワジマシ,わじまし,37.39059,136.899196
172057,石川県,珠洲市,スズシ,すずし,37.436347,137.260436
172065,石川県,加賀市,カガシ,かがし,36.302624,136.314627
172073,石川県,羽咋市,ハクイシ,はくいし,36.893599,136.778996
172090,石川県,かほく市,カホクシ,かほくし,36.719826,136.706727
172103,石川県,白山市,ハクサンシ,はくさんし,36.514427,136.565892
172111,石川県,能美市,ノミシ,のみし,36.446941,136.554242
172120,石川県,野々市市,ノノイチシ,ののいちし,36.519704,136.609971
173240,石川県,能美郡川北町,カワキタマチ,かわきたまち,36.46863,136.542304
173614,石川県,河北郡津幡町,ツバタマチ,つばたまち,36.668693,136.728442
173657,石川県,河北郡内灘町,ウチナダマチ,うちなだまち,36.653494,136.645086
173843,石川県,羽咋郡志賀町,シカマチ,しかまち,37.006312,136.77801
173860,石川県,羽咋郡宝達志水町,ホウダツシミズチョウ,ほうだつしみずちょう,36.862773,136.797529
174076,石川県,鹿島郡中能登町,ナカノトマチ,なかのとまち,36.988884,136.901832
174611,石川県,鳳珠郡穴水町,アナミズマチ,あなみずまち,37.230995,136.912475
174637,石川県,鳳珠郡能登町,ノトチョウ,のとちょう,37.353216,137.244521
182010,福井県,福井市,フクイシ,ふくいし,36.064067,136.219494
182028,福井県,敦賀市,ツルガシ,つるがし,35.645244,136.055441
182044,福井県,小浜市,オバマシ,おばまし,35.495593,135.746644
182052,福井県,大野市,オオノシ,おおのし,35.979814,136.487564
182061,福井県,勝山市,カツヤマシ,かつやまし,36.060945,136.500584
182079,福井県,鯖江市,サバエシ,さばえし,35.956553,136.184474
182087,福井県,あわら市,アワラシ,あわらし,36.211353,136.229025
182095,福井県,越前市,エチゼンシ,えちぜんし,35.903499,136.16878
182109,福井県,坂井市,サカイシ,さかいし,36.166925,136.231457
183229,福井県,吉田郡永平寺町,エイヘイジチョウ,えいへいじちょう,36.092256,136.298706
183822,福井県,今立郡池田町,イケダチョウ,いけだちょう,35.890472,136.343907
184047,福井県,南条郡南越前町,ミナミエチゼンチョウ,みなみえちぜんちょう,35.835164,136.194465
184233,福井県,丹生郡越前町,エチゼンチョウ,えちぜんちょう,35.974208,136.129743
184420,福井県,三方郡美浜町,ミハマチョウ,みはまちょう,35.60053,135.940543
184811,福井県,大飯郡高浜町,タカハマチョウ,たかはまちょう,35.490428,135.55099
184837,福井県,大飯郡おおい町,オオイチョウ,おおいちょう,35.481166,135.617828
185019,福井県,三方上中郡若狭町,ワカサチョウ,わかさちょう,35.461888,135.857211
192015,山梨県,甲府市,コウフシ,こうふし,35.66228,138.568202
192023,山梨県,富士吉田市,フジヨシダシ,ふじよしだし,35.487497,138.807854
192040,山梨県,都留市,ツルシ,つるし,35.55168,138.905473
192058,山梨県,山梨市,ヤマナシシ,やまなしし,35.693394,138.686914
192066,山梨県,大月市,オオツキシ,おおつきし,35.610485,138.940028
192074,山梨県,韮崎市,ニラサキシ,にらさきし,35.708897,138.446127
192082,山梨県,南アルプス市,ミナミアルプシ,みなみあるぷすし,35.608328,138.464966
192091,山梨県,北杜市,ホクトシ,ほとくし,35.77653,138.423781
192104,山梨県,甲斐市,カイシ,かいし,35.686259,138.487257
192112,山梨県,笛吹市,フエフキシ,ふえふきし,35.64736,138.639786
192121,山梨県,上野原市,ウエノハラシ,うえのはらし,35.630259,139.108599
192139,山梨県,甲州市,コウシュウシ,こうしゅうし,35.704316,138.729404
192147,山梨県,中央市,チュウオウシ,ちゅうおうし,35.599629,138.517272
193461,山梨県,西八代郡市川三郷町,イチカワミサトチョウ,いちかわみさとちょう,35.565303,138.502369
193640,山梨県,南巨摩郡早川町,ハヤカワチョウ,はやかわちょう,35.412917,138.362759
193658,山梨県,南巨摩郡身延町,ミノブチョウ,みのぶちょう,35.467494,138.44246
193666,山梨県,南巨摩郡南部町,ナンブチョウ,なんぶちょう,35.242352,138.486109
193682,山梨県,南巨摩郡富士川町,フジカワチョウ,ふじかわちょう,35.561156,138.461384
193844,山梨県,中巨摩郡昭和町,ショウワチョウ,しょうわちょう,35.627926,138.535142
194221,山梨県,南都留郡道志村,ドウシムラ,どうしむら,35.527956,139.033379
194239,山梨県,南都留郡西桂町,ニシカツラチョウ,にしかつらちょう,35.524069,138.846891
194247,山梨県,南都留郡忍野村,オシノムラ,おしのむら,35.460098,138.847861
194255,山梨県,南都留郡山中湖村,ヤマナカコムラ,やまなこむら,35.410645,138.860917
194298,山梨県,南都留郡鳴沢村,ナルサワムラ,なるさわむら,35.481392,138.706362
194301,山梨県,南都留郡富士河口湖町,フジカワグチコマチ,ふじかわぐちこまち,35.497314,138.755084
194425,山梨県,北都留郡小菅村,コスゲムラ,こすげむら,35.760124,138.940161
194433,山梨県,北都留郡丹波山村,タバヤマムラ,たばやまむら,35.789712,138.922231
202011,長野県,長野市,ナガノシ,ながのし,36.64855,138.194243
202029,長野県,松本市,マツモトシ,まつもとし,36.238038,137.972034
202037,長野県,上田市,ウエダシ,うえだし,36.401912,138.248889
202045,長野県,岡谷市,オカヤシ,おかやし,36.067012,138.049326
202053,長野県,飯田市,イイダシ,いいだし,35.514978,137.821447
202061,長野県,諏訪市,スワシ,すわし,36.039142,138.114182
202070,長野県,須坂市,スザカシ,すざかし,36.651097,138.307192
202088,長野県,小諸市,コモロシ,こもろし,36.327419,138.42588
202096,長野県,伊那市,イナシ,いなし,35.827481,137.95408
202100,長野県,駒ヶ根市,コマガネシ,こまがねし,35.728814,137.933782
202118,長野県,中野市,ナカノシ,なかのし,36.742044,138.36945
202126,長野県,大町市,オオマチシ,おおまちし,36.503018,137.851094
202134,長野県,飯山市,イイヤマシ,いいやまし,36.851745,138.365495
202142,長野県,茅野市,チノシ,ちのし,35.995571,138.158893
202151,長野県,塩尻市,シオジリシ,しおじりし,36.114972,137.953449
202177,長野県,佐久市,サクシ,さくし,36.248868,138.476831
202185,長野県,千曲市,チクマシ,ちくまし,36.533897,138.120108
202193,長野県,東御市,トウミシ,とうみし,36.359477,138.330247
202207,長野県,安曇野市,アヅミノシ,あづみのし,36.303951,137.905801
203033,長野県,南佐久郡小海町,コウミマチ,こうみまち,36.095097,138.483472
203041,長野県,南佐久郡川上村,カワカミムラ,かわかみむら,35.975487,138.578605
203050,長野県,南佐久郡南牧村,ミナミマキムラ,みなみまきむら,36.020856,138.492091
203068,長野県,南佐久郡南相木村,ミナミアイキムラ,みなみあいきむら,36.035985,138.54699
203076,長野県,南佐久郡北相木村,キタアイキムラ,きたあいきむら,36.059169,138.550883
203092,長野県,南佐久郡佐久穂町,サクホマチ,さくほまち,36.161106,138.483544
203211,長野県,北佐久郡軽井沢町,カルイザワマチ,かるいざわまち,36.34829,138.596955
203238,長野県,北佐久郡御代田町,ミヨタマチ,みよたまち,36.321183,138.508784
203246,長野県,北佐久郡立科町,タテシナマチ,たてしなまち,36.27207,138.315972
203491,長野県,小県郡青木村,アオキムラ,あおきむら,36.370346,138.12884
203505,長野県,小県郡長和町,ナガワマチ,ながわまち,36.255854,138.267866
203611,長野県,諏訪郡下諏訪町,シモスワマチ,しもすわまち,36.069559,138.08017
203629,長野県,諏訪郡富士見町,フジミマチ,ふじみまち,35.914621,138.240699
203637,長野県,諏訪郡原村,ハラムラ,はらむら,35.964456,138.21772
203823,長野県,上伊那郡辰野町,タツノマチ,たつのまち,35.982513,137.987484
203831,長野県,上伊那郡箕輪町,ミノワマチ,みのわまち,35.915134,137.981944
203840,長野県,上伊那郡飯島町,イイジママチ,いいじままち,35.676737,137.91968
203858,長野県,上伊那郡南箕輪村,ミナミミノワムラ,みなみみのわむら,35.8729,137.975024
203866,長野県,上伊那郡中川村,ナカガワムラ,なかがわむら,35.634537,137.946058
203882,長野県,上伊那郡宮田村,ミヤダムラ,みやだむら,35.768904,137.944307
204021,長野県,下伊那郡松川町,マツカワマチ,まつかわまち,35.597292,137.909567
204030,長野県,下伊那郡高森町,タカモリマチ,たかもりまち,35.551497,137.878437
204048,長野県,下伊那郡阿南町,アナンチョウ,あなんちょう,35.32364,137.816055
204072,長野県,下伊那郡阿智村,アチムラ,あちむら,35.443769,137.747505
204099,長野県,下伊那郡平谷村,ヒラヤムラ,ひらやむら,35.323236,137.63003
204102,長野県,下伊那郡根羽村,ネバムラ,ねばむら,35.253077,137.58126
204111,長野県,下伊那郡下條村,シモジョウムラ,しもじょうむら,35.397414,137.786051
204129,長野県,下伊那郡売木村,ウルギムラ,うるぎむら,35.271046,137.711313
204137,長野県,下伊那郡天龍村,テンリュウムラ,てんりゅうむら,35.276227,137.85414
204145,長野県,下伊那郡泰阜村,ヤスオカムラ,やすおかむら,35.377523,137.846015
204153,長野県,下伊那郡喬木村,タカギムラ,たかぎむら,35.513682,137.8737
204161,長野県,下伊那郡豊丘村,トヨオカムラ,とよおかむら,35.551439,137.895975
204170,長野県,下伊那郡大鹿村,オオシカムラ,おおしかむら,35.578222,138.034017
204226,長野県,木曽郡上松町,アゲマツマチ,あげまつまち,35.784076,137.694069
204234,長野県,木曽郡南木曽町,ナギソマチ,なぎそまち,35.603756,137.609016
204251,長野県,木曽郡木祖村,キソムラ,きそむら,35.936437,137.783301
204293,長野県,木曽郡王滝村,オウタキムラ,おうたきむら,35.809395,137.550969
204307,長野県,木曽郡大桑村,オオクワムラ,おおくわむら,35.682911,137.664918
204323,長野県,木曽郡木曽町,キソマチ,きそまち,35.842431,137.691508
204463,長野県,東筑摩郡麻績村,オミムラ,おみむら,36.456089,138.045289
204480,長野県,東筑摩郡生坂村,イクサカムラ,いくさかむら,36.425248,137.927383
204501,長野県,東筑摩郡山形村,ヤマガタムラ,やまがたむら,36.168028,137.879155
204510,長野県,東筑摩郡朝日村,アサヒムラ,あさひむら,36.12355,137.866133
204528,長野県,東筑摩郡筑北村,チクホクムラ,ちくほくむら,36.402553,138.011938
204811,長野県,北安曇郡池田町,イケダマチ,いけだまち,36.421366,137.874502
204820,長野県,北安曇郡松川村,マツカワムラ,まつかわむら,36.424076,137.854498
204854,長野県,北安曇郡白馬村,ハクバムラ,はくばむら,36.69818,137.86185
204862,長野県,北安曇郡小谷村,オタリムラ,おたりむら,36.779067,137.908405
205214,長野県,埴科郡坂城町,サカキマチ,さかきまち,36.46182,138.180106
205419,長野県,上高井郡小布施町,オブセマチ,おぶせまち,36.697492,138.312037
205435,長野県,上高井郡高山村,タカヤマムラ,たかやまむら,36.679768,138.363255
205613,長野県,下高井郡山ノ内町,ヤマノウチマチ,やまのうちまち,36.744634,138.412596
205621,長野県,下高井郡木島平村,キジマダイラムラ,きじまだいらむら,36.858406,138.406829
205630,長野県,下高井郡野沢温泉村,ノザワオンセンムラ,のざわおんせんむら,36.922902,138.440641
205834,長野県,上水内郡信濃町,シナノマチ,しなのまち,36.806404,138.207113
205885,長野県,上水内郡小川村,オガワムラ,おがわむら,36.617271,137.974724
205907,長野県,上水内郡飯綱町,イイヅナマチ,いいづなまち,36.763185,138.254809
206024,長野県,下水内郡栄村,サカエムラ,さかえむら,36.987514,138.577069
212016,岐阜県,岐阜市,ギフシ,ぎふし,35.423298,136.760654
212024,岐阜県,大垣市,オオガキシ,おおがきし,35.359384,136.61275
212032,岐阜県,高山市,タカヤマシ,たかやまし,36.146124,137.252173
212041,岐阜県,多治見市,タジミシ,たじみし,35.3328,137.132077
212059,岐阜県,関市,セキシ,せきし,35.495738,136.917842
212067,岐阜県,中津川市,ナカツガワシ,なかつがわし,35.487548,137.500509
212075,岐阜県,美濃市,ミノシ,みのし,35.54477,136.90754
212083,岐阜県,瑞浪市,ミズナミシ,みずなみし,35.361712,137.254587
212091,岐阜県,羽島市,ハシマシ,はしまし,35.31991,136.703349
212105,岐阜県,恵那市,エナシ,えなし,35.449314,137.412808
212113,岐阜県,美濃加茂市,ミノカモシ,みのかもし,35.440242,137.015664
212121,岐阜県,土岐市,トキシ,ときし,35.3525,137.183202
212130,岐阜県,各務原市,カカミガハラシ,かかみがはらし,35.398869,136.848264
212148,岐阜県,可児市,カニシ,かにし,35.426121,137.061011
212156,岐阜県,山県市,ヤマガタシ,やまがたし,35.506109,136.781372
212164,岐阜県,瑞穂市,ミズホシ,みずほし,35.404094,136.649774
212172,岐阜県,飛騨市,ヒダシ,ひだし,36.238124,137.186317
212181,岐阜県,本巣市,モトスシ,もとすし,35.483047,136.678766
212199,岐阜県,郡上市,グジョウシ,ぐじょうし,35.748577,136.964354
212202,岐阜県,下呂市,ゲロシ,げろし,35.805882,137.2441
212211,岐阜県,海津市,カイヅシ,かいづし,35.220492,136.636662
213021,岐阜県,羽島郡岐南町,ギナンチョウ,ぎなんちょう,35.389722,136.783317
213039,岐阜県,羽島郡笠松町,カサマツチョウ,かさまつちょう,35.3672,136.763167
213411,岐阜県,養老郡養老町,ヨウロウチョウ,ようろうちょう,35.308333,136.561555
213616,岐阜県,不破郡垂井町,タルイチョウ,たるいちょう,35.370254,136.527102
213624,岐阜県,不破郡関ケ原町,セキガハラチョウ,せきがはらちょう,35.365517,136.466982
213811,岐阜県,安八郡神戸町,ゴウドチョウ,ごうどちょう,35.417368,136.608459
213829,岐阜県,安八郡輪之内町,ワノウチチョウ,わのうちちょう,35.285108,136.637435
213837,岐阜県,安八郡安八町,アンパチチョウ,あんぱちちょう,35.335391,136.665409
214019,岐阜県,揖斐郡揖斐川町,イビガワチョウ,いびがわちょう,35.487309,136.568653
214035,岐阜県,揖斐郡大野町,オオノチョウ,おおのちょう,35.470614,136.627552
214043,岐阜県,揖斐郡池田町,イケダチョウ,いけだちょう,35.442259,136.572926
214213,岐阜県,本巣郡北方町,キタガタチョウ,きたがたちょう,35.436948,136.685967
215015,岐阜県,加茂郡坂祝町,サカホギチョウ,さかほぎちょう,35.426662,136.985459
215023,岐阜県,加茂郡富加町,トミカチョウ,とみかちょう,35.484883,136.979824
215031,岐阜県,加茂郡川辺町,カワベチョウ,かわべちょう,35.486579,137.070608
215040,岐阜県,加茂郡七宗町,ヒチソウチョウ,ひちそうちょう,35.543724,137.119833
215058,岐阜県,加茂郡八百津町,ヤオツチョウ,やおつちょう,35.475952,137.141502
215066,岐阜県,加茂郡白川町,シラカワチョウ,しらかわちょう,35.581859,137.187824
215074,岐阜県,加茂郡東白川村,ヒガシシラカワムラ,ひがししらかわむら,35.642561,137.323751
215210,岐阜県,可児郡御嵩町,ミタケチョウ,みたけちょう,35.434245,137.13079
216046,岐阜県,大野郡白川村,シラカワムラ,しらかわむら,36.270806,136.898478
221015,静岡県,静岡市葵区,シズオカシアオイク,しずおかしあおいく,34.97514,138.383243
221023,静岡県,静岡市駿河区,シズオカシスルガク,しずおかしするがく,34.960745,138.404039
221031,静岡県,静岡市清水区,シズオカシシミズク,しずおかししみずく,35.015888,138.489528
221317,静岡県,浜松市中区,ハママツシナカク,はままつしなかく,34.710896,137.72594
221325,静岡県,浜松市東区,ハママツシヒガシク,はままつしひがしく,34.741325,137.791772
221333,静岡県,浜松市西区,ハママツシニシク,はままつしにしく,34.69271,137.645317
221341,静岡県,浜松市南区,ハママツシミナミク,はままつしみなみく,34.667333,137.7523
221350,静岡県,浜松市北区,ハママツシキタク,はままつしきたく,34.806193,137.651023
221368,静岡県,浜松市浜北区,ハママツシハマキタク,はままつしはまきたく,34.793372,137.789925
221376,静岡県,浜松市天竜区,ハママツシテンリュウク,はままつしてんりゅうく,34.872649,137.816265
222038,静岡県,沼津市,ヌマヅ,ぬまづ,35.095584,138.863493
222054,静岡県,熱海市,アタミシ,あたみし,35.096276,139.071705
222062,静岡県,三島市,ミシマシ,みしまし,35.118402,138.918513
222071,静岡県,富士宮市,フジノミヤシ,ふじのみやし,35.222054,138.621643
222089,静岡県,伊東市,イトウシ,いとうし,34.965671,139.101936
222097,静岡県,島田市,シマダシ,しまだし,34.836364,138.175997
222101,静岡県,富士市,フジシ,ふじし,35.161399,138.676273
222119,静岡県,磐田市,イワタシ,いわたし,34.717904,137.851513
222127,静岡県,焼津市,ヤイヅシ,やいづし,34.86692,138.323189
222135,静岡県,掛川市,カケガワシ,かけがわし,34.768767,137.998168
222143,静岡県,藤枝市,フジエダシ,ふじえだし,34.867367,138.257458
222151,静岡県,御殿場市,ゴテンバシ,ごてんばし,35.308584,138.934506
222160,静岡県,袋井市,フクロイシ,ふくろいし,34.750174,137.924679
222194,静岡県,下田市,シモダシ,しもだし,34.679533,138.945316
222208,静岡県,裾野市,スソノシ,すそのし,35.173883,138.906729
222216,静岡県,湖西市,コサイシ,こさいし,34.718466,137.531626
222224,静岡県,伊豆市,イズシ,いずし,34.976586,138.946704
222232,静岡県,御前崎市,オマエザキシ,おまえざきし,34.637987,138.128127
222241,静岡県,菊川市,キクガワシ,きくがわし,34.757746,138.084582
222259,静岡県,伊豆の国市,イズノクニシ,いずのくにし,35.027735,138.928921
222267,静岡県,牧之原市,マキノハラシ,まきのはらし,34.740043,138.224652
223018,静岡県,賀茂郡東伊豆町,ヒガシイズチョウ,ひがしいずちょう,34.772835,139.041311
223026,静岡県,賀茂郡河津町,カワヅチョウ,かわづちょう,34.757033,138.987538
223042,静岡県,賀茂郡南伊豆町,ミナミイズチョウ,みなみいずちょう,34.651092,138.858527
223051,静岡県,賀茂郡松崎町,マツザキチョウ,まつざきちょう,34.752769,138.778726
223069,静岡県,賀茂郡西伊豆町,ニシイズチョウ,にしいずちょう,34.771676,138.775356
223255,静岡県,田方郡函南町,カンナミチョウ,かんなみちょう,35.088973,138.953366
223417,静岡県,駿東郡清水町,シミズチョウ,しみずちょう,35.099015,138.902717
223425,静岡県,駿東郡長泉町,ナガイズミチョウ,ながいずみちょう,35.13767,138.897178
223441,静岡県,駿東郡小山町,オヤマチョウ,おやまちょう,35.360107,138.987298
224243,静岡県,榛原郡吉田町,ヨシダチョウ,よしだちょう,34.77087,138.251993
224294,静岡県,榛原郡川根本町,カワネホンチョウ,かわねほんちょう,35.046833,138.081695
224618,静岡県,周智郡森町,モリマチ,もりまち,34.835627,137.927019
231011,愛知県,名古屋市千種区,ナゴヤシチクサク,なごやしちくさく,35.166486,136.946434
231029,愛知県,名古屋市東区,ナゴヤシヒガシク,なごやしひがしく,35.179325,136.925993
231037,愛知県,名古屋市北区,ナゴヤシキタク,なごやしきたく,35.194206,136.911519
231045,愛知県,名古屋市西区,ナゴヤシニシク,なごやしにしく,35.189117,136.890033
231053,愛知県,名古屋市中村区,ナゴヤシナカムラク,なごやしなかむらく,35.168747,136.873015
231061,愛知県,名古屋市中区,ナゴヤシナカク,なごやしなかく,35.168707,136.910251
231070,愛知県,名古屋市昭和区,ナゴヤシショウワク,なごやししょうわく,35.150199,136.934124
231088,愛知県,名古屋市瑞穂区,ナゴヤシミズホク,なごやしみずほく,35.131441,136.934961
231096,愛知県,名古屋市熱田区,ナゴヤシアツタク,なごやしあつたく,35.128545,136.91028
231100,愛知県,名古屋市中川区,ナゴヤシナカガワク,なごやしなかがわく,35.141539,136.854793
231118,愛知県,名古屋市港区,ナゴヤシミナトク,なごやしみなとく,35.107772,136.885567
231126,愛知県,名古屋市南区,ナゴヤシミナミク,なごやしみなみく,35.095169,136.931242
231134,愛知県,名古屋市守山区,ナゴヤシモリヤマク,なごやしもりやまく,35.203335,136.976314
231142,愛知県,名古屋市緑区,ナゴヤシミドリク,なごやしみどりく,35.070805,136.952238
231151,愛知県,名古屋市名東区,ナゴヤシメイトウク,なごやしめいとうく,35.175848,137.010183
231169,愛知県,名古屋市天白区,ナゴヤシテンパクク,なごやしてんぱくく,35.122671,136.974982
232017,愛知県,豊橋市,トヨハシシ,とよはしし,34.7692,137.391466
232025,愛知県,岡崎市,オカザキシ,おかざきし,34.954379,137.174329
232033,愛知県,一宮市,イチノミヤシ,いちのみやし,35.30389,136.802933
232041,愛知県,瀬戸市,セトシ,せとし,35.223614,137.084171
232050,愛知県,半田市,ハンダシ,はんだし,34.891718,136.937961
232068,愛知県,春日井市,カスガイシ,かすがいし,35.247611,136.972224
232076,愛知県,豊川市,トヨカワシ,とよかわし,34.826851,137.375542
232084,愛知県,津島市,ツシマシ,つしまし,35.177029,136.741214
232092,愛知県,碧南市,ヘキナンシ,へきなんし,34.884804,136.993375
232106,愛知県,刈谷市,ヤリヤシ,かりやし,34.989225,137.002107
232114,愛知県,豊田市,トヨタシ,とよたし,35.082395,137.156249
232122,愛知県,安城市,アンジョウシ,あんじょうし,34.958641,137.080297
232131,愛知県,西尾市,ニシオシ,にしおし,34.861937,137.06185
232149,愛知県,蒲郡市,ガマゴオリシ,がまごおりし,34.8265,137.219516
232157,愛知県,犬山市,イヌヤマシ,いぬやまし,35.378607,136.944564
232165,愛知県,常滑市,トコナメシ,とこなめし,34.8867,136.832397
232173,愛知県,江南市,コウナンシ,こうなんし,35.332011,136.870617
232190,愛知県,小牧市,コマキシ,こまきし,35.29031,136.910952
232203,愛知県,稲沢市,イナザワシ,いなざわし,35.248132,136.780202
232211,愛知県,新城市,シンシロシ,しんしろし,34.899229,137.498476
232220,愛知県,東海市,トウカイシ,とうかいし,35.022843,136.90253
232238,愛知県,大府市,オオブシ,おおぶし,35.011657,136.963835
232246,愛知県,知多市,チタシ,ちたし,34.996533,136.864755
232254,愛知県,知立市,チリュウシ,ちりゅうし,35.001272,137.050749
232262,愛知県,尾張旭市,オワリアサヒシ,おわりあさひし,35.216513,137.035396
232271,愛知県,高浜市,タカハマシ,たかはまし,34.927643,136.987677
232289,愛知県,岩倉市,イワクラシ,いわくらし,35.279503,136.871431
232297,愛知県,豊明市,トヨアケシ,とよあけし,35.053688,137.012997
232301,愛知県,日進市,ニッシンシ,にっしんし,35.132015,137.039412
232319,愛知県,田原市,タハラシ,たはらし,34.668806,137.264203
232327,愛知県,愛西市,アイサイシ,あいさいし,35.153141,136.7281
232335,愛知県,清須市,キヨスシ,きよすし,35.203381,136.865521
232343,愛知県,北名古屋市,キタナゴヤシ,きたなごやし,35.245668,136.866008
232351,愛知県,弥富市,ヤトミシ,やとみし,35.110018,136.724739
232360,愛知県,みよし市,ミヨシシ,みよしし,35.08941,137.074854
232378,愛知県,あま市,アマシ,あまし,35.170304,136.80083
232386,愛知県,長久手市,ナガクテシ,ながくてし,35.184126,137.048762
233021,愛知県,愛知郡東郷町,トウゴウチョウ,とうごうちょう,35.096748,137.052553
233421,愛知県,西春日井郡豊山町,トヨヤマチョウ,とよやまちょう,35.250474,136.912006
233617,愛知県,丹羽郡大口町,オオグチチョウ,おおぐちちょう,35.332436,136.90767
233625,愛知県,丹羽郡扶桑町,フソウチョウ,ふそうちょう,35.35914,136.913079
234249,愛知県,海部郡大治町,オオハルチョウ,おおはるちょう,35.175078,136.820095
234257,愛知県,海部郡蟹江町,カニエチョウ,かにえちょう,35.132331,136.786746
234273,愛知県,海部郡飛島村,トビシマムラ,とびしまむら,35.078848,136.791078
234419,愛知県,知多郡阿久比町,アグイチョウ,あぐいちょう,34.932611,136.915554
234427,愛知県,知多郡東浦町,ヒガシウラチョウ,ひがしうらちょう,34.977094,136.965622
234451,愛知県,知多郡南知多町,ミナミチタチョウ,みなみちたちょう,34.715167,136.92997
234460,愛知県,知多郡美浜町,ミハマチョウ,みはまちょう,34.778815,136.908237
234478,愛知県,知多郡武豊町,タケトヨチョウ,たけとよちょう,34.851134,136.914803
235016,愛知県,額田郡幸田町,コウタチョウ,こうたちょう,34.864442,137.165617
235610,愛知県,北設楽郡設楽町,シタラチョウ,したらちょう,35.097219,137.571445
235628,愛知県,北設楽郡東栄町,トウエイチョウ,とうえいちょう,35.076939,137.697837
235636,愛知県,北設楽郡豊根村,トヨネムラ,とよねむら,35.146738,137.7197
242012,三重県,津市,ツシ,つし,34.718596,136.505698
242021,三重県,四日市市,ヨッカイチシ,よっかいちし,34.965157,136.624485
242039,三重県,伊勢市,イセシ,いせし,34.487514,136.709336
242047,三重県,松阪市,マツサカシ,まつさかし,34.577993,136.527593
242055,三重県,桑名市,クワナシ,くわなし,35.062216,136.683803
242071,三重県,鈴鹿市,スズカシ,すずかし,34.88188,136.584209
242080,三重県,名張市,ナバリシ,なばりし,34.627659,136.108296
242098,三重県,尾鷲市,オワセシ,おわせし,34.070799,136.190995
242101,三重県,亀山市,カメヤマシ,かめやまし,34.855755,136.451645
242110,三重県,鳥羽市,トバシ,とばし,34.481435,136.843362
242128,三重県,熊野市,クマノシ,くまのし,33.888604,136.100237
